年,閾值分鐘,A_官方proxy,B_感知,A-B差,A觀測數,B觀測數
2022,1,0.6812534767290933,0.6709775026730578,0.01027597405603553,5393,137483
2022,3,0.8223623215279066,0.8287642835841522,-0.006401962056245658,5393,137483
2022,5,0.8928240311514927,0.9048027756158943,-0.011978744464401614,5393,137483
2022,10,0.9584646764324124,0.9705854542016104,-0.012120777769197955,5393,137483
2023,1,0.7781926811053025,0.7518786199768895,0.026314061128412947,5356,139331
2023,3,0.8831217326362958,0.8763232877105598,0.0067984449257360025,5356,139331
2023,5,0.9275578790141897,0.9314725366214267,-0.003914657607236971,5356,139331
2023,10,0.9742345033607169,0.978734093633147,-0.004499590272430076,5356,139331
2024,1,0.7291743798593113,0.7305013061326036,-0.0013269262732922282,5402,144702
2024,3,0.8559792669381711,0.8662077925667925,-0.010228525628621421,5402,144702
2024,5,0.9202147352832284,0.9286049950933642,-0.008390259810135858,5402,144702
2024,10,0.9694557571269901,0.9753147848682119,-0.005859027741221823,5402,144702
2025,1,0.6607975746268657,0.6713599958371457,-0.010562421210279949,8576,230611
2025,3,0.7765858208955224,0.7959204027561565,-0.01933458186063408,8576,230611
2025,5,0.8443330223880597,0.8604186270386062,-0.016085604650546426,8576,230611
2025,10,0.9151119402985075,0.9270589867786012,-0.011947046480093704,8576,230611
2026,1,0.7502288329519451,0.7608498727079925,-0.010621039756047446,8740,232929
2026,3,0.8733409610983982,0.8882492089864293,-0.014908247888031134,8740,232929
2026,5,0.9289473684210526,0.9425833623121208,-0.013635993891068177,8740,232929
2026,10,0.9729977116704805,0.9835228760695319,-0.010525164399051379,8740,232929
合併,1,0.7172737323333432,0.7171975558608721,7.617647247115666e-05,33467,885056
合併,3,0.8390952281351779,0.8494705419770049,-0.010375313841826994,33467,885056
合併,5,0.8998117548629994,0.9112711512039916,-0.011459396340992245,33467,885056
合併,10,0.9554486509098515,0.9647050582110058,-0.00925640730115429,33467,885056
